ID,Chapter,Verse,Shloka,Transliteration,HinMeaning,EngMeaning_x,WordMeaning,Keywords,concept,EngMeaning_y,context_tags
BG1.1,1,1,"धृतराष्ट्र उवाच |
धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः |
मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय ||१-१||","dhṛtarāṣṭra uvāca .
dharmakṣetre kurukṣetre samavetā yuyutsavaḥ .
māmakāḥ pāṇḍavāścaiva kimakurvata sañjaya ||1-1||",।।1.1।।धृतराष्ट्र ने कहा -- हे संजय ! धर्मभूमि कुरुक्षेत्र में एकत्र हुए युद्ध के इच्छुक (युयुत्सव:) मेरे और पाण्डु के पुत्रों ने क्या किया?,"1.1 Dhritarashtra said  What did my people and the sons of Pandu do when they had assembled
together eager for battle on the holy plain of Kurukshetra, O Sanjaya.",1.1 धर्मक्षेत्रे on the holy plain? कुरुक्षेत्रे in Kurukshetra? समवेताः assembled together? युयुत्सवः desirous to fight? मामकाः my people? पाण्डवाः the sons of Pandu? च and? एव also? किम् what? अकुर्वत did do? सञ्जय O Sanjaya.Commentary Dharmakshetra -- that place which protects Dharma is Dharmakshetra. Because it was in the land of the Kurus? it was called Kurukshetra.Sanjaya is one who has conered likes and dislikes and who is impartial.,"the, holy, plain, kurukshetra, assembled, together, desirous, fight, people, the, sons, pandu, and, also, what, did, sanjaya, commentary, dharmakshetra, that, place, which, protects, dharma, dharmakshetra, because, was, the, land, the, kurus, was, called, kurukshetra, sanjaya, one, who, has, conered, likes, and, dislikes, and, who, impartial",Dharma,"Dhritarashtra said: O Sanjaya, what did my sons and the sons of Pandu do when they assembled on the holy field of Kurukshetra, eager for battle?","Moral Conflict, Duty, Dharma"
BG1.2,1,2,"सञ्जय उवाच |
दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा |
आचार्यमुपसंगम्य राजा वचनमब्रवीत् ||१-२||","sañjaya uvāca .
dṛṣṭvā tu pāṇḍavānīkaṃ vyūḍhaṃ duryodhanastadā .
ācāryamupasaṃgamya rājā vacanamabravīt ||1-2||",।।1.2।।संजय ने कहा -- पाण्डव-सैन्य की व्यूह रचना देखकर राजा दुर्योधन ने आचार्य द्रोण के पास जाकर ये वचन कहे।,"1.2. Sanjaya said  Having seen the army of the Pandavas drawn up in battle-array,
King Duryodhana then approached his teacher (Drona) and spoke these words.",1.2 दृष्ट्वा having seen? तु indeed? पाण्डवानीकम् the army of the Pandavas? व्यूढम् drawn up in battlearray? दुर्योधनः Duryodhana? तदा then? आचार्यम् the teacher? उपसङ्गम्य having approached? राजा the king? वचनम् speech? अब्रवीत् said.No Commentary.,"having, seen, indeed, the, army, the, pandavas, drawn, battlearray, duryodhana, then, the, teacher, having, approached, the, king, speech, said, commentary",Ego,"Sanjaya said: Having seen the army of the Pandavas arrayed in battle formation, King Duryodhana approached his teacher Drona and spoke these words.","Moral Conflict, Duty"
BG1.3,1,3,"पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् |
व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ||१-३||","paśyaitāṃ pāṇḍuputrāṇāmācārya mahatīṃ camūm .
vyūḍhāṃ drupadaputreṇa tava śiṣyeṇa dhīmatā ||1-3||",।।1.3।।हे आचार्य ! आपके बुद्धिमान शिष्य द्रुपदपुत्र (धृष्टद्द्युम्न) द्वारा व्यूहाकार खड़ी की गयी पाण्डु पुत्रों की इस महती सेना को देखिये।,"1.3. ""Behold, O Teacher! this mighty army of the sons of Pandu,
arrayed by the son of Drupada, thy wise disciple.",1.3 पश्य behold? एताम् this? पाण्डुपुत्राणाम् of the sons of Pandu? आचार्य O Teacher? महतीम् great? चमूम् army? व्यूढाम् arrayed? द्रुपदपुत्रेण son of Drupada? तव शिष्येण by your disciple? धीमता wise.No Commentary.,"behold, this, the, sons, pandu, teacher, great, army, arrayed, son, drupada, your, disciple, wise, commentary",,"O teacher, behold this mighty army of the sons of Pandu, arrayed by your wise disciple, the son of Drupada.","Duty, Moral Conflict"
BG1.4,1,4,"अत्र शूरा महेष्वासा भीमार्जुनसमा युधि |
युयुधानो विराटश्च द्रुपदश्च महारथः ||१-४||","atra śūrā maheṣvāsā bhīmārjunasamā yudhi .
yuyudhāno virāṭaśca drupadaśca mahārathaḥ ||1-4||","।।1.4।।इस सेना में महान् धनुर्धारी शूर योद्धा है ,  जो युद्ध में भीम और अर्जुन के समान हैं , जैसे --  युयुधान, विराट तथा महारथी राजा द्रुपद।","1.4. Here are heroes, mighty archers, eal in battle to Bhima
and Arjuna, Yoyudhana (Satyaki), Virata and Drupada, of the great car (mighty
warriors).",1.4 अत्र here? शूराः heroes? महेष्वासाः mighty archers? भीमार्जुनसमाः eal to Bhima and Arjuna? युधि in battle? युयुधानः Yuyudhana? विराटः Virata? च and? द्रुपदः Drupada? च and? महारथः of the great car.Commentary Technically? maharatha means a warrior who is proficient in the science of war and who is able to fight alone with ten thousand archers.,"here, heroes, mighty, archers, eal, bhima, and, arjuna, battle, yuyudhana, virata, and, drupada, and, the, great, car, commentary, technically, maharatha, means, warrior, who, proficient, the, science, war, and, who, able, fight, alone, with, ten, thousand, archers",Dharma,"Here are great heroes, mighty archers, equal in battle to Bhima and Arjuna — Yuyudhana, Virata, and Drupada of the great chariot.","Duty, Discipline"
BG1.5,1,5,"धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् |
पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुंगवः ||१-५||","dhṛṣṭaketuścekitānaḥ kāśirājaśca vīryavān .
purujitkuntibhojaśca śaibyaśca narapuṃgavaḥ ||1-5||","।।1.5।।धृष्टकेतु, चेकितान, बलवान काशिराज,  पुरुजित्, कुन्तिभोज और मनुष्यों में श्रेष्ठ शैब्य।","1.5. ""Dhrishtaketu, chekitana and the valiant king of Kasi, Purujit
and Kuntibhoja and Saibya, the best men.",1.5 धृष्टकेतुः Dhrishtaketu? चेकितानः Chekitana? काशिराजः king of Kasi? च and? वीर्यवान् valiant? पुरुजित् Purujit? कुन्तिभोजः Kuntibhoja? च and? शैब्यः son of Sibi? च and? नरपुङ्गवः the best of men.No Commentary.,"dhrishtaketu, chekitana, king, kasi, and, valiant, purujit, kuntibhoja, and, son, sibi, and, the, best, men, commentary",Ego,"Dhrishtaketu, Chekitana, the valiant king of Kashi, Purujit, Kuntibhoja, and Shaibya — the best of men.","Duty, Discipline"
BG1.6,1,6,"युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् |
सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः ||१-६||","yudhāmanyuśca vikrānta uttamaujāśca vīryavān .
saubhadro draupadeyāśca sarva eva mahārathāḥ ||1-6||","।।1.6।।पराक्रमी युधामन्यु,  बलवान् उत्तमौजा,  सुभद्रापुत्र (अभिमन्यु) और द्रोपदी के पुत्र -- ये सब महारथी हैं।","1.6. ""The strong Yodhamanyu and the brave Uttamaujas, the son
of Subhadra (Abhimanyu, the son of Subhadra and Arjuna), and the sons of
Draupadi, all of great chariots (great heroes).",1.6 युधामन्युः Yudhamanyu? च and? विक्रान्तः the strong? उत्तमौजाः Uttamaujas? च and? वीर्यवान् the brave? सौभद्रः the son of Subhadra? द्रौपदेयाः the sons of Draupadi? च and? सर्वे all? एव even? महारथाः great carwarriors.No Commentary.,"yudhamanyu, and, the, strong, uttamaujas, and, the, brave, the, son, subhadra, the, sons, draupadi, and, all, even, great, carwarriors, commentary",,"The mighty Yudhamanyu, the valiant Uttamaujas, the son of Subhadra, and the sons of Draupadi — all are great chariot warriors.","Duty, Discipline"
BG1.7,1,7,"अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम |
नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते ||१-७||","asmākaṃ tu viśiṣṭā ye tānnibodha dvijottama .
nāyakā mama sainyasya saṃjñārthaṃ tānbravīmi te ||1-7||","।।1.7।।हे द्विजोत्तम ! हमारे पक्ष में भी जो विशिष्ट योद्धागण हैं , उनको आप जान लीजिये; आपकी जानकारी के लिये अपनी सेना के नायकों के नाम मैं आपको बताता हूँ।","1.7. ""Know also, O best among the twice-born! the names of those
who are the most distinguished amongst ourselves, the leaders of my army;
these I name to thee for thy information.",1.7 अस्माकम् ours? तु also? विशिष्टाः the best? ये who (those)? तान् those? निबोध know (thou)? द्विजोत्तम (O) best among the twicorn ones? नायकाः the leaders? मम my? सैन्यस्य of the army? संज्ञार्थम् for information? तान् them? ब्रवीमि speak? ते to thee.No Commentary.,"ours, also, the, best, who, those, those, know, thou, best, among, the, twicorn, ones, the, leaders, the, army, for, information, them, speak, thee, commentary",,"O best of Brahmins, know also the names of the distinguished commanders of my army. I shall tell you of those who are most eminent.","Duty, Discipline"
BG1.8,1,8,"भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जयः |
अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च ||१-८||","bhavānbhīṣmaśca karṇaśca kṛpaśca samitiñjayaḥ .
aśvatthāmā vikarṇaśca saumadattistathaiva ca ||1-8||","।।1.8।।एक तो स्वयं आप, भीष्म, कर्ण, और युद्ध विजयी कृपाचार्य तथा अश्वत्थामा, विकर्ण और सोमदत्त का पुत्र है।","1.8. ""Thyself and Bhishma, and Karna and also Kripa, the victorious
in war, Asvatthama, Vikarna, and also Bhurisrava, the son of Somadatta.",1.8 भवान् yourself? भीष्मः Bhishma? च and? कर्णः Karna? च and? कृपः Kripa? च and? समितिञ्जयः victorious in war? अश्वत्थामा Asvatthama? the son of Dronacharya? विकर्णः Vikarna? च and? सौमदत्तिः the son of Somadatta? तथा thus? एव even? च and.No Commentary.,"yourself, bhishma, and, karna, and, kripa, and, victorious, war, asvatthama, the, son, dronacharya, vikarna, and, the, son, somadatta, thus, even, and, commentary",Dharma,"Yourself and Bhishma, Karna and Kripa who is ever victorious in battle, Ashvatthama, Vikarna, and the son of Somadatta.","Duty, Moral Conflict"
BG1.9,1,9,"अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः |
नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः ||१-९||","anye ca bahavaḥ śūrā madarthe tyaktajīvitāḥ .
nānāśastrapraharaṇāḥ sarve yuddhaviśāradāḥ ||1-9||","।।1.9।।मेरे लिए प्राण त्याग करने के लिए तैयार, अनेक प्रकार के शस्त्रास्त्रों से सुसज्जित तथा युद्ध में कुशल और भी अनेक शूर वीर हैं।","1.9. ""And also many other heroes who are ready to give up their
lives for my sake, armed with various weapons and missiles, all well-skilled
in battle.",1.9 अन्ये others? च and? बहवः many? शूराः heroes? मदर्थे for my sake? त्यक्तजीविताः who are ready to give up their lives? नानाशस्त्रप्रहरणाः armed with various weapons and missiles? सर्वे all? युद्धविशारदाः wellskilled in battle.No Commentary.,"others, and, many, heroes, for, sake, who, are, ready, give, their, lives, armed, with, various, weapons, and, missiles, all, wellskilled, battle, commentary",Dharma,And there are many other heroes who are prepared to sacrifice their lives for my sake. They are armed with various weapons and are all experienced in warfare.,"Duty, Sacrifice, Karma"
BG1.10,1,10,"अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् |
पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् ||१-१०||","aparyāptaṃ tadasmākaṃ balaṃ bhīṣmābhirakṣitam .
paryāptaṃ tvidameteṣāṃ balaṃ bhīmābhirakṣitam ||1-10||","।।1.10।।भीष्म के द्वारा हमारी रक्षित सेना अपर्याप्त है; किन्तु भीम द्वारा रक्षित उनकी सेना पर्याप्त है अथवा, भीष्म के द्वारा रक्षित हमारी सेना अपरिमित है किन्तु भीम के द्वारा रक्षित उनकी सेना परिमित ही है।","1.10. ""This army of ours marshalled by Bhishma is insufficient,
whereas that army of theirs marshelled by Bhima is sufficient.",1.10 अपर्याप्तम् insufficient? तत् that? अस्माकम् ours? बलम् army? भीष्माभिरक्षितम् marshalled by Bhishma? पर्याप्तम् sufficient? तु while? इदम् this? एतेषाम् their? बलम् army? भीमाभिरक्षितम् marshalled by Bhima.Commentary The verse is differently interpreted by different commentators. Sridhara Swami takes the word aparyaptam to mean insufficient. Ananda Giri takes it to mean unlimited.,"insufficient, that, ours, army, marshalled, bhishma, sufficient, while, this, their, army, marshalled, bhima, commentary, the, verse, differently, interpreted, different, commentators, sridhara, swami, takes, the, word, aparyaptam, mean, insufficient, ananda, giri, takes, mean, unlimited",,"Our strength is unlimited and we are perfectly protected by grandfather Bhishma, whereas their strength is limited and they are perfectly protected by Bhima.","Moral Conflict, Duty"
